id;first_name;last_name;email;phone_number;hire_date;salary
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2020-04-23T08:45:41;12617
2;Destin;Rau;Carey51@yahoo.com;leading-edge;2020-04-23T13:34:18;64123
3;Harmon;Marks;Nicholas_Ebert8@gmail.com;maximized;2020-04-23T10:58:57;12826
4;Augustine;Kris;Michelle_Quitzon@hotmail.com;backing up;2020-04-23T09:11:55;49609
5;Jenifer;Krajcik;Cicero.Sawayn@yahoo.com;Global;2020-04-22T21:39:13;54645
6;Emmanuelle;Walker;Junior54@gmail.com;Infrastructure Granite infrastructures;2020-04-23T14:13:27;33970
7;Aisha;Carroll;Fern.Orn73@gmail.com;Jersey frictionless;2020-04-22T18:28:28;93597
8;Nona;Nitzsche;Dedrick_Cremin@gmail.com;Fish ROI Sausages;2020-04-23T08:37:42;99477
9;Jovanny;Okuneva;Jadyn.Dicki12@yahoo.com;Movies;2020-04-23T04:45:17;63673
10;Johann;Willms;Dejon3@yahoo.com;Peso Uruguayo Uruguay Peso en Unidades Indexadas;2020-04-23T00:40:00;43322
